,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic,cleaned_message,POS,tagCounts,preprocessed_1,POS-SEQ,None,words,uppercase_word_count,punctuation_count,not_in_vocab_words
0,?,0.0,0.0,0.0,0.0,0.0,0.0,?,"[('?', 'PUNCT')]",{'PUNCT': 1},,PUNCT,1.0,,0,1,
1,fox fail,1.0,0.0,0.0,0.0,0.0,0.0,fox fail,"[('fox', 'PROPN'), ('fail', 'VERB')]","{'PROPN': 1, 'VERB': 1}",fox fail,PROPN VERB,0.0,fox fail,0,0,
2,Tell baby clown boy to get out,1.0,0.0,0.0,0.0,0.0,0.0,Tell baby clown boy to get out,"[('tell', 'VERB'), ('baby', 'NOUN'), ('clown', 'NOUN'), ('boy', 'NOUN'), ('to', 'PART'), ('get', 'VERB'), ('out', 'ADP')]","{'VERB': 2, 'NOUN': 3, 'PART': 1, 'ADP': 1}",tell baby clown boy to get,VERB NOUN NOUN NOUN PART VERB ADP,0.0,tell baby clown boy to get out,0,0,
3,awe are you poor losers upset you lost the election?,1.0,0.0,0.0,0.0,0.0,0.0,awe are you poor losers upset you lost the election?,"[('awe', 'PROPN'), ('be', 'AUX'), ('you', 'PRON'), ('poor', 'ADJ'), ('loser', 'NOUN'), ('upset', 'VERB'), ('you', 'PRON'), ('lose', 'VERB'), ('the', 'DET'), ('election', 'NOUN'), ('?', 'PUNCT')]","{'PROPN': 1, 'AUX': 1, 'PRON': 2, 'ADJ': 1, 'NOUN': 2, 'VERB': 2, 'DET': 1, 'PUNCT': 1}",awe poor loser upset lose election,PROPN AUX PRON ADJ NOUN VERB PRON VERB DET NOUN PUNCT,0.0,awe be poor loser upset lose election,0,1,
4,Biden won bigly,0.0,0.0,0.0,0.0,0.0,0.0,Biden won bigly,"[('Biden', 'PROPN'), ('win', 'VERB'), ('bigly', 'ADV')]","{'PROPN': 1, 'VERB': 1, 'ADV': 1}",biden win bigly,PROPN VERB ADV,1.0,biden win bigly,0,0,bigly
5,tell it to the Supreme Court,0.0,0.0,0.0,0.0,0.0,0.0,tell it to the Supreme Court,"[('tell', 'VERB'), ('it', 'PRON'), ('to', 'ADP'), ('the', 'DET'), ('Supreme', 'PROPN'), ('Court', 'PROPN')]","{'VERB': 1, 'PRON': 1, 'ADP': 1, 'DET': 1, 'PROPN': 2}",tell supreme court,VERB PRON ADP DET PROPN PROPN,1.0,tell to supreme court,0,0,
6,Trump2020,0.0,0.0,0.0,0.0,0.0,0.0,Trump2020,"[('Trump2020', 'PROPN')]",{'PROPN': 1},trump2020,PROPN,1.0,trump2020,0,0,trump2020
7,😂😂 Trump lost,0.0,0.0,0.0,0.0,0.0,0.0,😂😂 Trump lost,"[('😂', 'EMOJI'), ('😂', 'EMOJI'), ('Trump', 'PROPN'), ('lose', 'VERB')]","{'X': 2, 'PROPN': 1, 'VERB': 1}",😂 😂 trump lose,EMOJI EMOJI PROPN VERB,1.0,trump lose,0,0,
8,Trump2020,0.0,0.0,0.0,0.0,0.0,0.0,Trump2020,"[('Trump2020', 'PROPN')]",{'PROPN': 1},trump2020,PROPN,1.0,trump2020,0,0,trump2020
9,Supreme court will have the final say!,0.0,0.0,0.0,0.0,0.0,0.0,Supreme court will have the final say!,"[('Supreme', 'PROPN'), ('court', 'NOUN'), ('will', 'AUX'), ('have', 'VERB'), ('the', 'DET'), ('final', 'ADJ'), ('say', 'NOUN'), ('!', 'PUNCT')]","{'PROPN': 1, 'NOUN': 2, 'AUX': 1, 'VERB': 1, 'DET': 1, 'ADJ': 1, 'PUNCT': 1}",supreme court have final say,PROPN NOUN AUX VERB DET ADJ NOUN PUNCT,1.0,supreme court will have final say,0,1,
10,"FYI the electors haven't been appointed yet, nor have they voted.",0.0,0.0,0.0,0.0,0.0,0.0,"FYI the electors have not been appointed yet, nor have they voted.","[('FYI', 'PROPN'), ('the', 'DET'), ('elector', 'NOUN'), ('have', 'AUX'), ('not', 'PART'), ('be', 'AUX'), ('appoint', 'VERB'), ('yet', 'ADV'), (',', 'PUNCT'), ('nor', 'CCONJ'), ('have', 'AUX'), ('they', 'PRON'), ('vote', 'VERB'), ('.', 'PUNCT')]","{'PROPN': 1, 'DET': 1, 'NOUN': 1, 'AUX': 3, 'PART': 1, 'VERB': 2, 'ADV': 1, 'PUNCT': 2, 'CCONJ': 1, 'PRON': 1}",fyi elector not appoint yet vote,PROPN DET NOUN AUX PART AUX VERB ADV PUNCT CCONJ AUX PRON VERB PUNCT,1.0,fyi elector have not be appoint yet nor have vote,1,2,fyi elector
11,sUpReMe cOuRt,1.0,0.0,0.0,0.0,0.0,0.0,sUpReMe cOuRt,"[('sUpReMe', 'PROPN'), ('cOuRt', 'PROPN')]",{'PROPN': 2},supreme court,PROPN PROPN,0.0,supreme court,0,0,
12,Trump will be President media doesn't call elections.,0.0,0.0,0.0,0.0,0.0,0.0,Trump will be President media does not call elections.,"[('Trump', 'PROPN'), ('will', 'AUX'), ('be', 'VERB'), ('President', 'PROPN'), ('medium', 'NOUN'), ('do', 'AUX'), ('not', 'PART'), ('call', 'VERB'), ('election', 'NOUN'), ('.', 'PUNCT')]","{'PROPN': 2, 'AUX': 2, 'VERB': 2, 'NOUN': 2, 'PART': 1, 'PUNCT': 1}",trump be president medium not call election,PROPN AUX VERB PROPN NOUN AUX PART VERB NOUN PUNCT,1.0,trump will be president medium do not call election,0,1,
13,4 eyes is gonna make a good prison b****,1.0,0.0,0.0,0.0,0.0,1.0,4 eyes is gonna make a good prison b****,"[('4', 'NUM'), ('eye', 'NOUN'), ('be', 'AUX'), ('go', 'VERB'), ('to', 'PART'), ('make', 'VERB'), ('a', 'DET'), ('good', 'ADJ'), ('prison', 'NOUN'), ('b', 'NOUN'), ('*', 'PUNCT'), ('*', 'PUNCT'), ('*', 'PUNCT'), ('*', 'PUNCT')]","{'NUM': 1, 'NOUN': 3, 'AUX': 1, 'VERB': 2, 'PART': 1, 'DET': 1, 'ADJ': 1, 'PUNCT': 4}",4 eye gon na make good prison b,NUM NOUN AUX VERB PART VERB DET ADJ NOUN NOUN PUNCT PUNCT PUNCT PUNCT,0.0,4 eye be gon na make good prison b,0,4,
14,Trump 2020 get over it,0.0,0.0,0.0,0.0,0.0,0.0,Trump 2020 get over it,"[('Trump', 'PROPN'), ('2020', 'NUM'), ('get', 'VERB'), ('over', 'ADP'), ('it', 'PRON')]","{'PROPN': 1, 'NUM': 1, 'VERB': 1, 'ADP': 1, 'PRON': 1}",trump 2020 get,PROPN NUM VERB ADP PRON,1.0,trump 2020 get over,0,0,
15,Trump 2020,0.0,0.0,0.0,0.0,0.0,0.0,Trump 2020,"[('trump', 'NOUN'), ('2020', 'NUM')]","{'NOUN': 1, 'NUM': 1}",trump 2020,NOUN NUM,1.0,trump 2020,0,0,
16,RAID THEIR SERVERS!,0.0,0.0,0.0,1.0,0.0,0.0,RAID THEIR SERVERS!,"[('RAID', 'VERB'), ('their', 'PRON'), ('server', 'NOUN'), ('!', 'PUNCT')]","{'VERB': 1, 'PRON': 1, 'NOUN': 1, 'PUNCT': 1}",raid server,VERB PRON NOUN PUNCT,0.0,raid server,3,1,
17,the guy doing sign language is more entertaining,0.0,0.0,0.0,0.0,0.0,0.0,the guy doing sign language is more entertaining,"[('the', 'DET'), ('guy', 'NOUN'), ('do', 'VERB'), ('sign', 'NOUN'), ('language', 'NOUN'), ('be', 'AUX'), ('more', 'ADV'), ('entertaining', 'ADJ')]","{'DET': 1, 'NOUN': 3, 'VERB': 1, 'AUX': 1, 'ADV': 1, 'ADJ': 1}",guy do sign language more entertaining,DET NOUN VERB NOUN NOUN AUX ADV ADJ,1.0,guy do sign language be more entertaining,0,0,
18,trump 2020,0.0,0.0,0.0,0.0,0.0,0.0,trump 2020,"[('trump', 'PROPN'), ('2020', 'NUM')]","{'PROPN': 1, 'NUM': 1}",trump 2020,PROPN NUM,1.0,trump 2020,0,0,
19,OBAMA 2020 MAGA!!,0.0,0.0,0.0,0.0,0.0,0.0,OBAMA 2020 MAGA!!,"[('OBAMA', 'PROPN'), ('2020', 'NUM'), ('MAGA', 'PROPN'), ('!', 'PUNCT'), ('!', 'PUNCT')]","{'PROPN': 2, 'NUM': 1, 'PUNCT': 2}",obama 2020 maga,PROPN NUM PROPN PUNCT PUNCT,1.0,obama 2020 maga,2,2,maga
20,of course Trump lost. He is a lunatic. Most Americans can see that.,1.0,0.0,0.0,0.0,0.0,0.0,of course Trump lost. He is a lunatic. Most Americans can see that.,"[('of', 'ADP'), ('course', 'NOUN'), ('Trump', 'PROPN'), ('lose', 'VERB'), ('.', 'PUNCT'), ('he', 'PRON'), ('be', 'AUX'), ('a', 'DET'), ('lunatic', 'ADJ'), ('.', 'PUNCT'), ('Most', 'ADJ'), ('Americans', 'PROPN'), ('can', 'AUX'), ('see', 'VERB'), ('that', 'DET'), ('.', 'PUNCT')]","{'ADP': 1, 'NOUN': 1, 'PROPN': 2, 'VERB': 2, 'PUNCT': 3, 'PRON': 1, 'AUX': 2, 'DET': 2, 'ADJ': 2}",course trump lose lunatic most americans see,ADP NOUN PROPN VERB PUNCT PRON AUX DET ADJ PUNCT ADJ PROPN AUX VERB DET PUNCT,0.0,of course trump lose be lunatic most americans can see,0,3,
21,Biden and his supporters will always have to live with the shame of cheating America!,1.0,0.0,0.0,0.0,0.0,0.0,Biden and his supporters will always have to live with the shame of cheating America!,"[('Biden', 'PROPN'), ('and', 'CCONJ'), ('his', 'PRON'), ('supporter', 'NOUN'), ('will', 'AUX'), ('always', 'ADV'), ('have', 'VERB'), ('to', 'PART'), ('live', 'VERB'), ('with', 'ADP'), ('the', 'DET'), ('shame', 'NOUN'), ('of', 'ADP'), ('cheat', 'VERB'), ('America', 'PROPN'), ('!', 'PUNCT')]","{'PROPN': 2, 'CCONJ': 1, 'PRON': 1, 'NOUN': 2, 'AUX': 1, 'ADV': 1, 'VERB': 3, 'PART': 1, 'ADP': 2, 'DET': 1, 'PUNCT': 1}",biden supporter always have to live shame cheat america,PROPN CCONJ PRON NOUN AUX ADV VERB PART VERB ADP DET NOUN ADP VERB PROPN PUNCT,0.0,biden and supporter will always have to live with shame of cheat america,0,1,
22,MAGA,0.0,0.0,0.0,0.0,0.0,0.0,MAGA,"[('MAGA', 'PROPN')]",{'PROPN': 1},maga,PROPN,1.0,maga,1,0,maga
23,TRUMP WINS BY A LANDSLIDE!,0.0,0.0,0.0,0.0,0.0,0.0,TRUMP WINS BY A LANDSLIDE!,"[('TRUMP', 'PROPN'), ('WINS', 'PROPN'), ('by', 'ADP'), ('a', 'DET'), ('landslide', 'NOUN'), ('!', 'PUNCT')]","{'PROPN': 2, 'ADP': 1, 'DET': 1, 'NOUN': 1, 'PUNCT': 1}",trump wins landslide,PROPN PROPN ADP DET NOUN PUNCT,1.0,trump wins by landslide,5,1,
24,wow you all really don't understand how our election system works and its sad,0.0,0.0,0.0,0.0,0.0,0.0,wow you all really do not understand how our election system works and its sad,"[('wow', 'INTJ'), ('you', 'PRON'), ('all', 'DET'), ('really', 'ADV'), ('do', 'AUX'), ('not', 'PART'), ('understand', 'VERB'), ('how', 'ADV'), ('our', 'PRON'), ('election', 'NOUN'), ('system', 'NOUN'), ('work', 'VERB'), ('and', 'CCONJ'), ('its', 'PRON'), ('sad', 'ADJ')]","{'INTJ': 1, 'PRON': 3, 'DET': 1, 'ADV': 2, 'AUX': 1, 'PART': 1, 'VERB': 2, 'NOUN': 2, 'CCONJ': 1, 'ADJ': 1}",wow really not understand how election system work sad,INTJ PRON DET ADV AUX PART VERB ADV PRON NOUN NOUN VERB CCONJ PRON ADJ,1.0,wow really do not understand how election system work and sad,0,0,
25,Biden 2020-2028 Kamala 2028-2036,0.0,0.0,0.0,0.0,0.0,0.0,Biden 2020-2028 Kamala 2028-2036,"[('Biden', 'PROPN'), ('2020', 'NUM'), ('-', 'SYM'), ('2028', 'NUM'), ('Kamala', 'PROPN'), ('2028', 'NUM'), ('-', 'SYM'), ('2036', 'NUM')]","{'PROPN': 2, 'NUM': 4, 'SYM': 2}",biden 2020 2028 kamala 2028 2036,PROPN NUM SYM NUM PROPN NUM SYM NUM,1.0,biden 2020 2028 kamala 2028 2036,0,2,2028 kamala 2028 2036
26,media does not call an election. fake news media.,0.0,0.0,0.0,0.0,0.0,0.0,media does not call an election. fake news media.,"[('medium', 'NOUN'), ('do', 'AUX'), ('not', 'PART'), ('call', 'VERB'), ('an', 'DET'), ('election', 'NOUN'), ('.', 'PUNCT'), ('fake', 'ADJ'), ('news', 'NOUN'), ('medium', 'NOUN'), ('.', 'PUNCT')]","{'NOUN': 4, 'AUX': 1, 'PART': 1, 'VERB': 1, 'DET': 1, 'PUNCT': 2, 'ADJ': 1}",medium not call election fake news medium,NOUN AUX PART VERB DET NOUN PUNCT ADJ NOUN NOUN PUNCT,1.0,medium do not call election fake news medium,0,2,
27,"We just see all the RATS coming out, that's the goal",1.0,0.0,0.0,0.0,0.0,0.0,"We just see all the RATS coming out, that is the goal","[('we', 'PRON'), ('just', 'ADV'), ('see', 'VERB'), ('all', 'DET'), ('the', 'DET'), ('RATS', 'PROPN'), ('come', 'VERB'), ('out', 'ADP'), (',', 'PUNCT'), ('that', 'DET'), ('be', 'AUX'), ('the', 'DET'), ('goal', 'NOUN')]","{'PRON': 1, 'ADV': 1, 'VERB': 2, 'DET': 4, 'PROPN': 1, 'ADP': 1, 'PUNCT': 1, 'AUX': 1, 'NOUN': 1}",just see rats come goal,PRON ADV VERB DET DET PROPN VERB ADP PUNCT DET AUX DET NOUN,0.0,just see rats come out be goal,1,1,
28,Corrupted politician,1.0,0.0,0.0,0.0,0.0,0.0,Corrupted politician,"[('corrupted', 'ADJ'), ('politician', 'NOUN')]","{'ADJ': 1, 'NOUN': 1}",corrupted politician,ADJ NOUN,0.0,corrupted politician,0,0,corrupted
29,Trump is the president and will be for next 4 years!,0.0,0.0,0.0,0.0,0.0,0.0,Trump is the president and will be for next 4 years!,"[('Trump', 'PROPN'), ('be', 'AUX'), ('the', 'DET'), ('president', 'NOUN'), ('and', 'CCONJ'), ('will', 'AUX'), ('be', 'VERB'), ('for', 'ADP'), ('next', 'ADJ'), ('4', 'NUM'), ('year', 'NOUN'), ('!', 'PUNCT')]","{'PROPN': 1, 'AUX': 2, 'DET': 1, 'NOUN': 2, 'CCONJ': 1, 'VERB': 1, 'ADP': 1, 'ADJ': 1, 'NUM': 1, 'PUNCT': 1}",trump president be next 4 year,PROPN AUX DET NOUN CCONJ AUX VERB ADP ADJ NUM NOUN PUNCT,1.0,trump be president and will be for next 4 year,0,1,
30,"RAID THE VOTING MACHINES BEFORE THEY ""UPDATE"" THE SOFTWARE EARASING THE RIGGED VOTING SOFTWARE!",0.0,0.0,0.0,1.0,0.0,0.0,"RAID THE VOTING MACHINES BEFORE THEY ""UPDATE"" THE SOFTWARE EARASING THE RIGGED VOTING SOFTWARE!","[('raid', 'NOUN'), ('the', 'DET'), ('voting', 'NOUN'), ('machines', 'NOUN'), ('before', 'ADP'), ('THEY', 'PROPN'), ('""', 'PUNCT'), ('update', 'VERB'), ('""', 'PUNCT'), ('the', 'DET'), ('software', 'NOUN'), ('earase', 'VERB'), ('the', 'DET'), ('rigged', 'NOUN'), ('voting', 'NOUN'), ('SOFTWARE', 'PROPN'), ('!', 'PUNCT')]","{'NOUN': 6, 'DET': 3, 'ADP': 1, 'PROPN': 2, 'PUNCT': 3, 'VERB': 2}",raid voting machine they update software earase rigged voting software,NOUN DET NOUN NOUN ADP PROPN PUNCT VERB PUNCT DET NOUN VERB DET NOUN NOUN PROPN PUNCT,0.0,raid voting machine before they update software earase rigged voting software,14,3,earase
31,State calls the election!! In they did,0.0,0.0,0.0,0.0,0.0,0.0,State calls the election!! In they did,"[('state', 'NOUN'), ('call', 'VERB'), ('the', 'DET'), ('election', 'NOUN'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('in', 'ADP'), ('they', 'PRON'), ('do', 'VERB')]","{'NOUN': 2, 'VERB': 2, 'DET': 1, 'PUNCT': 2, 'ADP': 1, 'PRON': 1}",state call election do,NOUN VERB DET NOUN PUNCT PUNCT ADP PRON VERB,1.0,state call election in do,0,2,
